a,ə
judicial,ʤuˈdɪʃəl
judy,ˈʤudi
juice,ʤus
jul,jul*
julia,ˈʤuljə
julian,ˈʤuljən
julie,ˈʤuli
july,ˌʤuˈlaɪ
jump,ʤəmp
jumping,ˈʤəmpɪŋ
jun,ʤən
junction,ˈʤəŋkʃən
june,ʤun
jungle,ˈʤəŋgəl
junior,ˈʤunjər
junk,ʤəŋk
jurisdiction,ˌʤʊrɪsˈdɪkʃən
jury,ˈʤʊri
just,ʤɪst
justice,ˈʤəstɪs
justify,ˈʤəstəˌfaɪ
justin,ˈʤəstɪn
juvenile,ˈʤuvəˌnaɪl
jvc,jvc*
k,keɪ
ka,kɑ
kai,kaɪ
kansas,ˈkænzəs
karaoke,ˌkɛriˈoʊki
karen,ˈkɛrən
karl,kɑrl
karma,ˈkɑrmə
kate,keɪt
kathy,ˈkæθi
katie,ˈkeɪti
katrina,kəˈtrinə
kay,keɪ
kazakhstan,ˌkɑzɑkˈstɑn
kb,kb*
kde,kde*
keen,kin
keep,kip
keeping,ˈkipɪŋ
keeps,kips
keith,kiθ
kelkoo,kelkoo*
kelly,ˈkɛli
ken,kɛn
kennedy,ˈkɛnədi
kenneth,ˈkɛnɪθ
kenny,ˈkɛˌni
keno,ˈkinoʊ
kent,kɛnt
kentucky,kənˈtəki
kenya,ˈkɛnjə
kept,kɛpt
kernel,ˈkərnəl
kerry,ˈkɛri
kevin,ˈkɛvɪn
key,ki
keyboard,ˈkiˌbɔrd
keyboards,ˈkiˌbɔrdz
keys,kiz
keyword,ˈkiˌwərd
keywords,ˈkiˌwərdz
kg,kg*
kick,kɪk
kid,kɪd
kidney,ˈkɪdni
kids,kɪdz
kijiji,kijiji*
kill,kɪl
killed,kɪld
killer,ˈkɪlər
killing,ˈkɪlɪŋ
kills,kɪlz
kilometers,ˈkɪləˌmitərz
kim,kɪm
kinase,kinase*
kind,kaɪnd
kinda,ˈkɪndə
kinds,kaɪnz
king,kɪŋ
kingdom,ˈkɪŋdəm
kings,kɪŋz
kingston,ˈkɪŋstən
kirk,kərk
kiss,kɪs
kissing,ˈkɪsɪŋ
kit,kɪt
kitchen,ˈkɪʧən
kits,kɪts
kitty,ˈkɪti
klein,klaɪn
km,km*
knee,ni
knew,nu
knife,naɪf
knight,naɪt
knights,naɪts
knit,nɪt
knitting,ˈnɪtɪŋ
knives,naɪvz
knock,nɑk
know,noʊ
knowing,noʊɪŋ
knowledge,ˈnɑlɪʤ
knowledgestorm,knowledgestorm*
known,noʊn
knows,noʊz
ko,koʊ
kodak,ˈkoʊˌdæk
kong,kɔŋg
korea,ˌkɔˈriə
korean,ˌkɔˈriən
kruger,ˈkrugər
ks,ks*
kurt,kərt
kuwait,kuˈweɪt
kw,kw*
ky,ky*
kyle,kaɪl
l,ɛl
la,lɑ
lab,læb
label,ˈleɪbəl
labeled,ˈleɪbəld
labels,ˈleɪbəlz
labor,ˈleɪbər
laboratories,ˈlæbrəˌtɔriz
laboratory,ˈlæbrəˌtɔri
labour,ˈleɪbər
labs,læbz
lace,leɪs
lack,læk
ladder,ˈlædər
laden,ˈleɪdən
ladies,ˈleɪdiz
lady,ˈleɪdi
lafayette,ˌlɑfiˈɛt
laid,leɪd
lake,leɪk
lakes,leɪks
lamb,læm
lambda,ˈlæmdə
lamp,læmp
lamps,læmps
lan,læn
lancaster,ˈlæŋkəstər
lance,læns
land,lænd
landing,ˈlændɪŋ
lands,lændz
landscape,ˈlænˌskeɪp
landscapes,ˈlænˌskeɪps
lane,leɪn
lanes,leɪnz
lang,læŋ
language,ˈlæŋgwɪʤ
languages,ˈlæŋgwɪʤɪz
lanka,ˈlæŋkə
lap,læp
laptop,ˈlæpˌtɑp
laptops,ˈlæpˌtɑps
large,lɑrʤ
largely,ˈlɑrʤli
larger,ˈlɑrʤər
largest,ˈlɑrʤəst
larry,ˈlɛri
las,ˈɛˈleɪˈɛs
laser,ˈleɪzər
last,læst
lasting,ˈlæstɪŋ
lat,lɑt
late,leɪt
lately,ˈleɪtli
later,ˈleɪtər
latest,ˈleɪtəst
latex,ˈleɪˌtɛks
latin,ˈlætən
latina,ləˈtinə
latinas,latinas*
latino,ləˈtinoʊ
latitude,ˈlætəˌtud
latter,ˈlætər
latvia,ˈlætviə
lauderdale,ˈlɔdərˌdeɪl
laugh,læf
laughing,ˈlæfɪŋ
launch,lɔnʧ
launched,lɔnʧt
launches,ˈlɔnʧɪz
laundry,ˈlɔndri
laura,ˈlɔrə
lauren,ˈlɔrən
law,lɔ
lawn,lɔn
lawrence,ˈlɔrəns
laws,lɔz
lawsuit,ˈlɔˌsut
lawyer,ˈlɔjər
lawyers,ˈlɔjərz
lay,leɪ
layer,leɪər
layers,leɪərz
layout,leɪaʊt
lazy,ˈleɪzi
lb,paʊnd
lbs,paʊndz
lc,lc*
lcd,lcd*
ld,ld*
le,lə
lead,lɛd
leader,ˈlidər
leaders,ˈlidərz
leadership,ˈlidərˌʃɪp
leading,ˈlidɪŋ
leads,lidz
leaf,lif
league,lig
lean,lin
learn,lərn
learned,ˈlərnɪd
learners,ˈlərnərz
learning,ˈlərnɪŋ
lease,lis
leasing,ˈlisɪŋ
least,list
leather,ˈlɛðər
leave,liv
leaves,livz
leaving,ˈlivɪŋ
lebanon,ˈlɛbənən
lecture,ˈlɛkʧər
lectures,ˈlɛkʧərz
led,lɛd
lee,li
leeds,lidz
left,lɛft
leg,lɛg
legacy,ˈlɛgəsi
legal,ˈligəl
legally,ˈligəli
legend,ˈlɛʤənd
legendary,ˈlɛʤənˌdɛri
legends,ˈlɛʤəndz
legislation,ˌlɛʤəsˈleɪʃən
legislative,ˈlɛʤəsˌleɪtɪv
legislature,ˈlɛʤəsˌleɪʧər
legitimate,ləˈʤɪtəmət
legs,lɛgz
leisure,ˈlɛʒər
lemon,ˈlɛmən
len,lɛn
lender,ˈlɛndər
lenders,ˈlɛndərz
lending,ˈlɛndɪŋ
length,lɛŋθ
lens,lɛnz
lenses,ˈlɛnzɪz
leo,ˈlioʊ
leon,liɑn
leonard,ˈlɛnərd
leone,liˈoʊn
les,lɛs
lesbian,ˈlɛzbiən
lesbians,ˈlɛzbiənz
leslie,ˈlɛsli
less,lɛs
lesser,ˈlɛsər
lesson,ˈlɛsən
lessons,ˈlɛsənz
let,lɛt
lets,lɛts
letter,ˈlɛtər
letters,ˈlɛtərz
letting,ˈlɛtɪŋ
leu,lu
level,ˈlɛvəl
levels,ˈlɛvəlz
levitra,levitra*
levy,ˈlɛvi
lewis,luɪs
lexington,ˈlɛksɪŋtən
lexmark,ˈlɛksˌmɑrk
lexus,ˈlɛksəs
lf,lf*
lg,lg*
li,li
liabilities,ˌlaɪəˈbɪlɪtiz
liability,ˌlaɪəˈbɪlɪti
liable,ˈlaɪəbəl
lib,lɪb
liberal,ˈlɪˌbərəl
liberia,ˌlaɪˈbɪˌriə
liberty,ˈlɪbərˌti
librarian,laɪˈbrɛˌriən
libraries,ˈlaɪbrɛˌriz
library,ˈlaɪbrɛˌri
libs,libs*
licence,ˈlaɪsəns
license,ˈlaɪsəns
licensed,ˈlaɪsənst
licenses,ˈlaɪsənsɪz
licensing,ˈlaɪsənsɪŋ
licking,ˈlɪkɪŋ
lid,lɪd
lie,laɪ
liechtenstein,ˈlɪktənˌstaɪn
lies,laɪz
life,laɪf
lifestyle,ˈlaɪfˌstaɪl
lifetime,ˈlaɪfˌtaɪm
lift,lɪft
light,laɪt
lighter,ˈlaɪtər
lighting,ˈlaɪtɪŋ
lightning,ˈlaɪtnɪŋ
lights,laɪts
lightweight,ˈlaɪtˈweɪt
like,laɪk
liked,laɪkt
likelihood,ˈlaɪkliˌhʊd
likely,ˈlaɪkli
likes,laɪks
likewise,ˈlaɪkˌwaɪz
lil,lɪl
lime,laɪm
limit,ˈlɪmət
limitation,ˌlɪmɪˈteɪʃən
limitations,ˌlɪmɪˈteɪʃənz
limited,ˈlɪmɪtɪd
limiting,ˈlɪmətɪŋ
limits,ˈlɪmɪts
limousines,ˈlɪməˌzinz
lincoln,ˈlɪŋkən
linda,ˈlɪndə
lindsay,ˈlɪndzi
line,laɪn
linear,ˈlɪniər
lined,laɪnd
lines,laɪnz
lingerie,ˈlɑnʒərˌeɪ
link,lɪŋk
linked,lɪŋkt
linking,ˈlɪŋkɪŋ
links,lɪŋks
linux,ˈlɪnəks
lion,laɪən
lions,laɪənz
lip,lɪp
lips,lɪps
liquid,ˈlɪkwɪd
lisa,ˈlisə
list,lɪst
listed,ˈlɪstɪd
listen,ˈlɪsən
listening,ˈlɪsənɪŋ
listing,ˈlɪstɪŋ
listings,ˈlɪstɪŋz
listprice,listprice*
lists,lɪsts
lit,lɪt
lite,laɪt
literacy,ˈlɪtərəsi
literally,ˈlɪtərəli
literary,ˈlɪtərˌɛri
literature,ˈlɪtərəʧər
lithuania,ˌlɪθəˈweɪniə
litigation,ˌlɪtəˈgeɪʃən
little,ˈlɪtəl
live,lɪv
livecam,livecam*
lived,lɪvd
liver,ˈlɪvər
liverpool,ˈlɪvərˌpul
lives,lɪvz
livesex,livesex*
livestock,ˈlaɪvˌstɑk
living,ˈlɪvɪŋ
liz,lɪz
ll,ll*
llc,llc*
lloyd,lɔɪd
llp,llp*
lm,lm*
ln,leɪn
lo,loʊ
load,loʊd
loaded,ˈloʊdɪd
loading,ˈloʊdɪŋ
loads,loʊdz
loan,loʊn
loans,loʊnz
lobby,ˈlɑbi
loc,loc*
local,ˈloʊkəl
locale,loʊˈkæl
locally,ˈloʊkəli
locate,ˈloʊˌkeɪt
located,ˈloʊˌkeɪtəd
location,loʊˈkeɪʃən
locations,loʊˈkeɪʃənz
locator,ˈloʊˌkeɪtər
lock,lɑk
locked,lɑkt
locking,ˈlɑkɪŋ
locks,lɑks
lodge,lɑʤ
lodging,ˈlɑʤɪŋ
log,lɔg
logan,ˈloʊgən
logged,lɔgd
logging,ˈlɔgɪŋ
logic,ˈlɑʤɪk
logical,ˈlɑʤɪkəl
login,login*
logistics,ləˈʤɪstɪks
logitech,logitech*
logo,ˈloʊgoʊ
logos,ˈloʊˌgoʊz
logs,lɔgz
lol,lɔl
lolita,loʊˈlitə
london,ˈləndən
lone,loʊn
lonely,ˈloʊnli
long,lɔŋ
longer,ˈlɔŋgər
longest,ˈlɔŋgɪst
longitude,ˈlɑnʤəˌtud
look,lʊk
looked,lʊkt
looking,ˈlʊkɪŋ
looks,lʊks
looksmart,looksmart*
lookup,ˈlʊkəp
loop,lup
loops,lups
loose,lus
lopez,ˈloʊpɛz
lord,lɔrd
los,lɔs
lose,luz
losing,ˈluzɪŋ
loss,lɔs
losses,ˈlɔsɪz
lost,lɔst
lot,lɔt
lots,lɑts
lottery,ˈlɑtəri
lotus,ˈloʊtəs
lou,lu
loud,laʊd
louis,luɪs
louise,luiz
louisiana,luˌiziˈænə
louisville,ˈluiˌvɪl
lounge,laʊnʤ
love,ləv
loved,ləvd
lovely,ˈləvli
lover,ˈləvər
lovers,ˈləvərz
loves,ləvz
loving,ˈləvɪŋ
low,loʊ
lower,loʊər
lowest,loʊəst
lows,loʊz
lp,ˈɛlˈpi
ls,ˈɛˈlɛs
lt,lt*
ltd,ˈɛlˈtiˈdi
lu,lu
lucas,ˈlukəs
lucia,ˈluʃə
luck,lək
lucky,ˈləki
lucy,ˈlusi
luggage,ˈləgɪʤ
luis,luis
luke,luk
lunch,lənʧ
lung,ləŋ
luther,ˈluθər
luxembourg,ˈləksəmˌbɔrg
luxury,ˈləgʒəri
lycos,ˈlaɪkoʊs
lying,laɪɪŋ
lynn,lɪn
lyric,ˈlɪrɪk
lyrics,ˈlɪrɪks
m,ɛm
ma,mɑ
mac,mæk
macedonia,ˌmæsəˈdoʊniə
machine,məˈʃin
machinery,məˈʃinəri
machines,məˈʃinz
macintosh,ˈmækənˌtɔʃ
macro,ˈmækroʊ
macromedia,ˌmækroʊˈmidiə
mad,mæd
madagascar,ˌmædəˈgæskər
made,meɪd
madison,ˈmædɪsən
madness,ˈmædnəs
madonna,məˈdɑnə
madrid,məˈdrɪd
mae,meɪ
mag,mæg
magazine,ˈmægəˌzin
magazines,ˈmægəˌzinz
magic,ˈmæʤɪk
magical,ˈmæʤɪkəl
magnet,ˈmægnət
magnetic,mægˈnɛtɪk
magnificent,mægˈnɪfɪsənt
magnitude,ˈmægnəˌtud
mai,maɪ
maiden,ˈmeɪdən
mail,meɪl
mailed,meɪld
mailing,ˈmeɪlɪŋ
mailman,ˈmeɪlˌmæn
mails,meɪlz
mailto,mailto*
main,meɪn
maine,meɪn
mainland,ˈmeɪnˌlænd
mainly,ˈmeɪnli
mainstream,ˈmeɪnˌstrim
maintain,meɪnˈteɪn
maintained,meɪnˈteɪnd
maintaining,meɪnˈteɪnɪŋ
maintains,meɪnˈteɪnz
maintenance,ˈmeɪntənəns
major,ˈmeɪʤər
majority,məˈʤɔrəti
make,meɪk
maker,ˈmeɪkər
makers,ˈmeɪkərz
makes,meɪks
makeup,ˈmeɪˌkəp
making,ˈmeɪkɪŋ
malawi,məˈlɑwi
malaysia,məˈleɪʒə
maldives,ˈmɔlˌdaɪvz
male,meɪl
males,meɪlz
mali,ˈmɑli
mall,mɔl
malpractice,mælˈpræktɪs
malta,ˈmɔltə
mambo,ˈmɑmboʊ
man,mæn
manage,ˈmænɪʤ
managed,ˈmænɪʤd
management,ˈmænɪʤmənt
manager,ˈmænɪʤər
managers,ˈmænɪʤərz
managing,ˈmænəʤɪŋ
manchester,ˈmænˌʧɛstər
mandate,ˈmænˌdeɪt
mandatory,ˈmændəˌtɔri
manga,ˈmæŋgə
manhattan,mænˈhætən
manitoba,ˌmænɪˈtoʊbə
manner,ˈmænər
manor,ˈmænər
manual,ˈmænjuəl
manually,ˈmænjuəli
manuals,ˈmænjuəlz
manufacture,ˌmænjəˈfækʧər
manufactured,ˌmænjəˈfækʧərd
manufacturer,ˌmænjəˈfækʧərər
manufacturers,ˌmænjəˈfækʧərərz
manufacturing,ˌmænjəˈfækʧərɪŋ
many,ˈmɛni
map,mæp
maple,ˈmeɪpəl
mapping,ˈmæpɪŋ
maps,mæps
mar,mɑr
marathon,ˈmɛrəˌθɑn
marble,ˈmɑrbəl
marc,mɑrk
march,mɑrʧ
marco,ˈmɑrkoʊ
marcus,ˈmɑrkəs
mardi,ˈmɑrdi
margaret,ˈmɑrgərɪt
margin,ˈmɑrʤən
maria,mərˈiə
mariah,məraɪə
marie,mərˈi
marijuana,ˌmɛrəˈwɑnə
marilyn,ˈmɛrəlɪn
marina,mərˈinə
marine,mərˈin
mario,ˈmɑrioʊ
marion,ˈmɛriən
maritime,ˈmærəˌtaɪm
mark,mɑrk
marked,mɑrkt
marker,ˈmɑrkər
markers,ˈmɑrkərz
market,ˈmɑrkɪt
marketing,ˈmɑrkətɪŋ
marketplace,ˈmɑrkɪtˌpleɪs
markets,ˈmɑrkɪts
marking,ˈmɑrkɪŋ
marks,mɑrks
marriage,ˈmɛrɪʤ
married,ˈmɛrid
marriott,ˈmɛriət
mars,mɑrz
marshall,ˈmɑrʃəl
mart,mɑrt
martha,ˈmɑrθə
martial,ˈmɑrʃəl
martin,ˈmɑrtɪn
marvel,ˈmɑrvəl
mary,ˈmɛri
maryland,ˈmɛrələnd
mas,mɑz
mask,mæsk
mason,ˈmeɪsən
mass,mæs
massachusetts,ˌmæsəˈʧusəts
massage,məˈsɑʒ
massive,ˈmæsɪv
master,ˈmæstər
mastercard,ˈmæstərˌkɑrd
masters,ˈmæstərz
masturbating,ˈmæstərˌbeɪtɪŋ
masturbation,ˌmæstərˈbeɪʃən
mat,mæt
match,mæʧ
matched,mæʧt
matches,ˈmæʧɪz
matching,ˈmæʧɪŋ
mate,meɪt
material,məˈtɪriəl
materials,məˈtɪriəlz
maternity,məˈtərnɪti
math,mæθ
mathematical,ˌmæθəˈmætɪkəl
mathematics,ˌmæθəˈmætɪks
mating,ˈmeɪtɪŋ
matrix,ˈmeɪtrɪks
mats,mæts
matt,mæt
matter,ˈmætər
matters,ˈmætərz
matthew,ˈmæθju
mattress,ˈmætrəs
mature,məˈʧʊr
maui,maʊi
mauritius,mɔˈrɪtiəs
max,mæks
maximize,ˈmæksəˌmaɪz
maximum,ˈmæksəməm
may,meɪ
maybe,ˈmeɪbi
mayor,meɪər
mazda,ˈmɑzdə
mb,mb*
mba,ˈɛmˈbiˈeɪ
mc,ˈɛmˈsi
mcdonald,məkˈdɑnəld
md,md*
me,mi
meal,mil
meals,milz
mean,min
meaning,ˈminɪŋ
meaningful,ˈminɪŋfəl
means,minz
meant,mɛnt
meanwhile,ˈminˌwaɪl
measure,ˈmɛʒər
measured,ˈmɛʒərd
measurement,ˈmɛʒərmənt
measurements,ˈmɛʒərmənts
measures,ˈmɛʒərz
measuring,ˈmɛʒərɪŋ
meat,mit
mechanical,məˈkænɪkəl
mechanics,məˈkænɪks
mechanism,ˈmɛkəˌnɪzəm
mechanisms,ˈmɛkəˌnɪzəmz
med,mɛd
medal,ˈmɛdəl
media,ˈmidiə
median,ˈmidiən
medicaid,ˈmɛdəˌkeɪd
medical,ˈmɛdɪkəl
medicare,ˈmɛdəˌkɛr
medication,ˌmɛdəˈkeɪʃən
medications,ˌmɛdəˈkeɪʃənz
medicine,ˈmɛdəsən
medicines,ˈmɛdəsənz
medieval,mɪˈdjivəl
meditation,ˌmɛdəˈteɪʃən
mediterranean,ˌmɛdətərˈeɪniən
medium,ˈmidiəm
medline,medline*
meet,mit
meeting,ˈmitɪŋ
meetings,ˈmitɪŋz
meets,mits
meetup,meetup*
mega,ˈmɛgə
mel,mɛl
melbourne,ˈmɛlbərn
melissa,məˈlɪsə
mem,mem*
member,ˈmɛmbər
members,ˈmɛmbərz
membership,ˈmɛmbərˌʃɪp
membrane,ˈmɛmˌbreɪn
memo,ˈmɛˌmoʊ
memorabilia,ˌmɛmərəˈbiljə
memorial,məˈmɔriəl
memories,ˈmɛməriz
memory,ˈmɛməri
memphis,ˈmɛmpfɪs
men,mɛn
mens,mɛnz
ment,ment*
mental,ˈmɛntəl
mention,ˈmɛnʃən
mentioned,ˈmɛnʃənd
mentor,ˈmɛnˌtɔr
menu,ˈmɛnju
menus,ˈmɛnjuz
mercedes,mərˈseɪdiz
merchandise,ˈmərʧənˌdaɪz
merchant,ˈmərʧənt
merchants,ˈmərʧənts
mercury,ˈmərkjəri
mercy,ˈmərsi
mere,mɪr
merely,ˈmɪrli
merge,mərʤ
merger,ˈmərʤər
merit,ˈmɛrət
merry,ˈmɛri
mesa,ˈmeɪsə
mesh,mɛʃ
mess,mɛs
message,ˈmɛsɪʤ
messages,ˈmɛsɪʤɪz
messaging,ˈmɛsɪʤɪŋ
messenger,ˈmɛsɪnʤər
met,mɛt
meta,ˈmitə
metabolism,məˈtæbəˌlɪzəm
metadata,metadata*
metal,ˈmɛtəl
metallic,məˈtælɪk
metallica,məˈtælɪkə
metals,ˈmɛtəlz
meter,ˈmitər
meters,ˈmitərz
method,ˈmɛθəd
methodology,ˌmɛθəˈdɑləʤi
methods,ˈmɛθədz
metres,ˈmitərz
metric,ˈmɛtrɪk
metro,ˈmɛˌtroʊ
metropolitan,ˌmɛtrəˈpɑlətən
mexican,ˈmɛksəkən
mexico,ˈmɛksəˌkoʊ
meyer,maɪər
mf,mf*
mfg,mfg*
mg,mg*
mh,ˈɛˈmeɪʧ
mhz,mhz*
mi,mi
mia,ˈmiə
miami,maɪˈæmi
mic,mɪk
mice,maɪs
michael,ˈmaɪkəl
michel,ˈmɪʧəl
michelle,mɪˈʃɛl
michigan,ˈmɪʃɪgən
micro,ˈmaɪˌkroʊ
microphone,ˈmaɪkrəˌfoʊn
microsoft,ˈmaɪˌkroʊˈsɔft
microwave,ˈmaɪkrəˌweɪv
mid,mɪd
middle,ˈmɪdəl
midi,ˈmidi
midlands,ˈmɪˌdlændz
midnight,ˈmɪdˌnaɪt
midwest,ˌmɪdˈwɛst
might,maɪt
mighty,ˈmaɪti
migration,maɪˈgreɪʃən
mike,maɪk
mil,mɪl
milan,ˈmaɪˌlæn
mild,maɪld
mile,maɪl
mileage,ˈmaɪlɪʤ
miles,maɪəlz
milf,milf*
milfhunter,milfhunter*
milfs,milfs*
military,ˈmɪlɪˌtɛri
milk,mɪlk
mill,mɪl
millennium,məˈlɛniəm
miller,ˈmɪlər
million,ˈmɪljən
millions,ˈmɪljənz
mills,mɪlz
milton,ˈmɪltən
milwaukee,mɪlˈwɔki
mime,maɪm
min,mɪn
mind,maɪnd
minds,maɪndz
mine,maɪn
mineral,ˈmɪnərəl
minerals,ˈmɪnərəlz
mines,maɪnz
mini,ˈmɪni
miniature,ˈmɪnɪˌʧʊr
minimal,ˈmɪnəməl
minimize,ˈmɪnəˌmaɪz
minimum,ˈmɪnəməm
mining,ˈmaɪnɪŋ
minister,ˈmɪnɪstər
ministers,ˈmɪnɪstərz
ministries,ˈmɪnɪstriz
ministry,ˈmɪnɪstri
minneapolis,ˌmɪniˈæpəlɪs
minnesota,ˌmɪnɪˈsoʊtə
minolta,mɪˈnɑlˌtə
minor,ˈmaɪnər
minority,məˈnɔrəti
mins,mins*
mint,mɪnt
minus,ˈmaɪnəs
minute,ˈmɪnət
minutes,ˈmɪnəts
miracle,ˈmɪrəkəl
mirror,ˈmɪrər
mirrors,ˈmɪrərz
misc,misc*
miscellaneous,ˌmɪsəˈleɪniəs
miss,mɪs
missed,mɪst
missile,ˈmɪsəl
missing,ˈmɪsɪŋ
mission,ˈmɪʃən
missions,ˈmɪʃənz
mississippi,ˌmɪsɪˈsɪpi
missouri,məˈzʊri
mistake,mɪˈsteɪk
mistakes,mɪˈsteɪks
mistress,ˈmɪstrəs
mit,ˈɛˈmaɪˈti
mitchell,ˈmɪʧəl
mitsubishi,ˌmɪtˌsuˈbiʃi
mix,mɪks
mixed,mɪkst
mixer,ˈmɪksər
mixing,ˈmɪksɪŋ
mixture,ˈmɪksʧər
mj,mj*
ml,ml*
mlb,mlb*
mls,mls*
mm,mm*
mn,mn*
mo,moʊ
mobile,ˈmoʊbəl
mobiles,ˈmoʊbəlz
mobility,moʊˈbɪlɪti
mod,mɔd
mode,moʊd
model,ˈmɑdəl
modeling,ˈmɑdəlɪŋ
modelling,modelling*
models,ˈmɑdəlz
modem,ˈmoʊdəm
modems,ˈmoʊdəmz
moderate,ˈmɑdərˌeɪt
moderator,ˈmɑdərˌeɪtər
moderators,ˈmɑdərˌeɪtərz
modern,ˈmɑdərn
modes,moʊdz
modification,ˌmɑdəfəˈkeɪʃən
modifications,ˌmɑdəfəˈkeɪʃənz
modified,ˈmɑdəˌfaɪd
modify,ˈmɑdəˌfaɪ
mods,mods*
modular,ˈmɑʤələr
module,ˈmɑʤul
modules,ˈmɑʤulz
moisture,ˈmɔɪsʧər
mold,moʊld
moldova,ˌmoʊlˈdoʊvə
molecular,məˈlɛkjələr
molecules,ˈmɑləˌkjulz
mom,mɑm
moment,ˈmoʊmənt
moments,ˈmoʊmənts
momentum,moʊˈmɛntəm
moms,mɑmz
mon,mɑn
monaco,ˈmɑnəˌkoʊ
monday,ˈmənˌdeɪ
monetary,ˈmɑnəˌtɛri
money,ˈməni
mongolia,mɑŋˈgoʊljə
monica,ˈmɑnɪkə
monitor,ˈmɑnətər
monitored,ˈmɑnətərd
monitoring,ˈmɑnətərɪŋ
monitors,ˈmɑnətərz
monkey,ˈməŋki
mono,ˈmoʊnoʊ
monroe,mənˈroʊ
monster,ˈmɑnstər
montana,mɑnˈtænə
monte,ˈmɑnti
montgomery,mɑntˈgəmri
month,mənθ
monthly,ˈmənθli
months,mənθs
montreal,ˌməntriˈɔl
mood,mud
moon,mun
moore,mʊr
moral,ˈmɔrəl
more,mɔr
moreover,mɔˈroʊvər
morgan,ˈmɔrgən
morning,ˈmɔrnɪŋ
morocco,mərˈɑkoʊ
morris,ˈmɔrɪs
morrison,ˈmɔrɪsən
mortality,mɔrˈtæləti
mortgage,ˈmɔrgɪʤ
mortgages,ˈmɔrgɪʤɪz
moscow,ˈmɔˌskaʊ
moses,ˈmoʊzɪs
moss,mɔs
most,moʊst
mostly,ˈmoʊstli
motel,moʊˈtɛl
motels,moʊˈtɛlz
mother,ˈməðər
motherboard,motherboard*
mothers,ˈməðərz
motion,ˈmoʊʃən
motivated,ˈmoʊtəˌveɪtəd
motivation,ˌmoʊtəˈveɪʃən
motor,ˈmoʊtər
motorcycle,ˈmoʊtərˌsaɪkəl
motorcycles,ˈmoʊtərˌsaɪkəlz
motorola,ˌmoʊtərˈoʊlə
motors,ˈmoʊtərz
mount,maʊnt
mountain,ˈmaʊntən
mountains,ˈmaʊntənz
mounted,ˈmaʊnɪd
mounting,ˈmaʊntɪŋ
mounts,maʊnts
mouse,maʊs
mouth,maʊθ
move,muv
moved,muvd
movement,ˈmuvmənt
movements,ˈmuvmənts
movers,ˈmuvərz
moves,muvz
movie,ˈmuvi
movies,ˈmuviz
moving,ˈmuvɪŋ
mozambique,ˌmoʊzəmˈbik
mozilla,mozilla*
mp,mp*
mpeg,ˈɛmˌpɛg
mpegs,mpegs*
mpg,ˈɛmˈpiˈʤi
mph,ˈɛmˈpiˈeɪʧ
mr,ˈmɪstər
mrna,mrna*
mrs,ˈmɪsɪz
ms,mɪz
msg,msg*
msgid,msgid*
msgstr,msgstr*
msie,msie*
msn,msn*
mt,ˈɛmˈti
mtv,ˈɛmˈtiˈvi
mu,mu
much,məʧ
mud,məd
mug,məg
multi,ˈməlti
multimedia,ˌməltiˈmidiə
multiple,ˈməltəpəl
mumbai,ˌmʊmˈbaɪ
munich,mˈjunɪk
municipal,mjuˈnɪsəpəl
municipality,mˌjunɪsəˈpæləti
murder,ˈmərdər
murphy,ˈmərfi
murray,ˈməri
muscle,ˈməsəl
muscles,ˈməsəlz
museum,mˈjuziəm
museums,mˈjuziəmz
music,mˈjuzɪk
musical,mˈjuzɪkəl
musician,mjuˈzɪʃən
musicians,mjuˈzɪʃənz
muslim,ˈməzlɪm
muslims,ˈməzlɪmz
must,məst
mustang,ˈməˌstæŋ
mutual,mˈjuʧuəl
muze,muze*
mv,mv*
mw,mw*
mx,mx*
my,maɪ
myanmar,mˈjɑnˈmɑr
myers,maɪərz
myrtle,ˈmərtəl
myself,ˌmaɪˈsɛlf
mysimon,mysimon*
myspace,ˈmaɪˌspeɪs
mysql,mysql*
mysterious,mɪˈstɪriəs
mystery,ˈmɪstəri
myth,mɪθ
n,ɛn
na,nɑ
nail,neɪl
nails,neɪlz
naked,ˈneɪkəd
nam,næm
name,neɪm
named,neɪmd
namely,ˈneɪmli
names,neɪmz
namespace,namespace*
namibia,nəˈmɪbiə
nancy,ˈnænsi
nano,ˈnɑnoʊ
naples,ˈneɪpəlz
narrative,ˈnɛrətɪv
narrow,ˈnɛroʊ
nasa,ˈnæsə
nascar,ˈnæˌskɑr
nasdaq,ˈnæzdæk
nashville,ˈnæʃvɪl
nasty,ˈnæsti
nat,næt
nathan,ˈneɪθən
nation,ˈneɪʃən
national,ˈnæʃənəl
nationally,ˈnæʃənəli
nations,ˈneɪʃənz
nationwide,ˈneɪʃənˈwaɪd
native,ˈneɪtɪv
nato,ˈneɪtoʊ
natural,ˈnæʧərəl
naturally,ˈnæʧərəli
naturals,naturals*
nature,ˈneɪʧər
naughty,ˈnɔti
nav,næv
naval,ˈneɪvəl
navigate,ˈnævəˌgeɪt
navigation,ˌnævəˈgeɪʃən
navigator,ˈnævəˌgeɪtər
navy,ˈneɪvi
nb,nb*
nba,ˈɛnˌbiˈeɪ
nbc,ˈɛnˌbiˈsi
nc,nc*
ncaa,ncaa*
nd,nd*
ne,ni
near,nɪr
nearby,ˈnɪrˈbaɪ
nearest,ˈnɪrəst
nearly,ˈnɪrli
nebraska,nəˈbræskə
nec,nɛk
necessarily,ˌnɛsəˈsɛrəli
